Disease	Disease1	ICD-11_Code	Category
Acute myringitis	Acute myringitis	AB14	0
Chronic myringitis	Chronic myringitis	AB15	0
Tympanosclerosis	Tympanosclerosis	AB16	0
Adhesive middle ear disease	Adhesive middle ear disease	AB17	0
Discontinuity or dislocation of ear ossicles	Discontinuity or dislocation of ear ossicles	AB18	0
Acquired abnormalities of ear ossicles not related to discontinuity or dislocation	Acquired abnormalities of ear ossicles not related to discontinuity or dislocation	AB19	0
Polyp of middle ear, unspecified	Polyp of middle ear, unspecified	AB1A.Z	0
Diseases of inner ear, unspecified	Diseases of inner ear, unspecified	AB3Z	0
Otosclerosis	Otosclerosis	AB33	0
Disorders of vestibular function, unspecified	Disorders of vestibular function, unspecified	AB34.Z	0
Meniere disease	Meniere disease	AB31.0	0
Benign positional paroxysmal vertigo	Benign positional paroxysmal vertigo	AB31.2	0
Vestibular neuritis	Vestibular neuritis	AB30.0	0
Other peripheral vertigo	Other peripheral vertigo	AB34.1	0
Vertigo of central origin	Vertigo of central origin	MB48.00	0
Labyrinthitis	Labyrinthitis	AB30.1	0
Labyrinthine fistula	Labyrinthine fistula	AB35	0
Labyrinthine dysfunction	Labyrinthine dysfunction	AB36	0
Noise effects on inner ear	Noise effects on inner ear	AB37	0
Acquired hearing impairment, unspecified	Acquired hearing impairment, unspecified	AB51.Z	0
Acquired conductive hearing loss	Acquired conductive hearing loss	AB51.0	0
Disorders with hearing impairment, unspecified	Disorders with hearing impairment, unspecified	AB5Z	0
Acquired sensorineural hearing loss	Acquired sensorineural hearing loss	AB51.1	0
Acquired mixed conductive and sensorineural hearing loss	Acquired mixed conductive and sensorineural hearing loss	AB51.2	0
Ototoxic hearing loss	Ototoxic hearing loss	AB53	0
Presbycusis	Presbycusis	AB54	0
Sudden idiopathic hearing loss	Sudden idiopathic hearing loss	AB55	0
Otalgia or effusion of ear	Otalgia or effusion of ear	AB70	0
Otalgia	Otalgia	AB70.2	0
Otorrhoea	Otorrhoea	AB70.0	0
Otorrhagia	Otorrhagia	AB70.1	0
Degenerative or vascular disorders of ear	Degenerative or vascular disorders of ear	AB71	0
Tinnitus	Tinnitus	MC41	0
Disorders of acoustic nerve, unspecified	Disorders of acoustic nerve, unspecified	AB72.Z	0
Acoustic neuritis	Acoustic neuritis	AB72.0	0
Recurrent cholesteatoma of postmastoidectomy cavity	Recurrent cholesteatoma of postmastoidectomy cavity	AB90	0
Mucosal cyst of postmastoidectomy cavity	Mucosal cyst of postmastoidectomy cavity	AB91	0
Diseases of the circulatory system, unspecified	Diseases of the circulatory system, unspecified	BE2Z	0
Acute rheumatic fever without mention of heart involvement, unspecified	Acute rheumatic fever without mention of heart involvement, unspecified	1B40.Z	0
Acute rheumatic heart disease, unspecified	Acute rheumatic heart disease, unspecified	1B41.Z	0
Acute rheumatic pericarditis	Acute rheumatic pericarditis	1B41.0	0
Acute rheumatic endocarditis, unspecified	Acute rheumatic endocarditis, unspecified	1B41.1Z	0
Acute rheumatic myocarditis	Acute rheumatic myocarditis	1B41.2	0
Rheumatic chorea	Rheumatic chorea	1B42	0
Mitral valve disease, unspecified	Mitral valve disease, unspecified	BB6Z	0
Rheumatic mitral valve stenosis	Rheumatic mitral valve stenosis	BB60.0	0
Rheumatic mitral valve insufficiency	Rheumatic mitral valve insufficiency	BB61.0	0
Rheumatic mitral stenosis with insufficiency	Rheumatic mitral stenosis with insufficiency	BB63.0	0
Aortic valve disease, unspecified	Aortic valve disease, unspecified	BB7Z	0
Rheumatic aortic valve stenosis	Rheumatic aortic valve stenosis	BB70.0	0
Rheumatic aortic valve insufficiency	Rheumatic aortic valve insufficiency	BB71.0	0
Rheumatic aortic stenosis with insufficiency	Rheumatic aortic stenosis with insufficiency	BB72.0	0
Tricuspid valve disease, unspecified	Tricuspid valve disease, unspecified	BB8Z	0
Rheumatic tricuspid valve stenosis	Rheumatic tricuspid valve stenosis	BB80.0	0
Rheumatic tricuspid valve insufficiency	Rheumatic tricuspid valve insufficiency	BB81.0	0
Rheumatic tricuspid valve stenosis with insufficiency	Rheumatic tricuspid valve stenosis with insufficiency	BB82.0	0
Multiple valve disease	Multiple valve disease	BC00	0
Chronic rheumatic heart disease, unspecified	Chronic rheumatic heart disease, unspecified	BC20.Z	0
Rheumatic myocarditis	Rheumatic myocarditis	BC42.3	0
Rheumatic diseases of endocardium, valve unspecified	Rheumatic diseases of endocardium, valve unspecified	BC20.0	0
Chronic rheumatic pericarditis	Chronic rheumatic pericarditis	BB21	0
Rheumatic heart disease, unspecified	Rheumatic heart disease, unspecified	BC20.1	0
Essential hypertension, unspecified	Essential hypertension, unspecified	BA00.Z	0
Hypertensive heart disease	Hypertensive heart disease	BA01	0
Hypertensive renal disease	Hypertensive renal disease	BA02	0
Secondary hypertension, unspecified	Secondary hypertension, unspecified	BA04.Z	0
Ischaemic heart diseases, unspecified	Ischaemic heart diseases, unspecified	BA6Z	0
Angina pectoris, unspecified	Angina pectoris, unspecified	BA40.Z	0
Unstable angina	Unstable angina	BA40.0	0
Coronary vasospastic disease, unspecified	Coronary vasospastic disease, unspecified	BA85.Z	0
Acute myocardial infarction, unspecified	Acute myocardial infarction, unspecified	BA41.Z	0
Subsequent myocardial infarction, unspecified	Subsequent myocardial infarction, unspecified	BA42.Z	0
Certain current complications following acute myocardial infarction, unspecified	Certain current complications following acute myocardial infarction, unspecified	BA60.Z	0
Haemopericardium	Haemopericardium	BB24	0
Acquired interatrial communication	Acquired interatrial communication	BC40.0	0
Ventricular septal defect as current complication following acute myocardial infarction	Ventricular septal defect as current complication following acute myocardial infarction	BA60.3	0
Cardiac rupture as current complication following acute myocardial infarction	Cardiac rupture as current complication following acute myocardial infarction	BA60.4	0
Rupture of papillary muscle or chordae tendineae as current complication following acute myocardial infarction	Rupture of papillary muscle or chordae tendineae as current complication following acute myocardial infarction	BA60.6	0
Mural thrombus as current complication following acute myocardial infarction	Mural thrombus as current complication following acute myocardial infarction	BA60.7	0
Acute ischaemic heart disease, unspecified	Acute ischaemic heart disease, unspecified	BA4Z	0
Coronary thrombosis not resulting in myocardial infarction	Coronary thrombosis not resulting in myocardial infarction	BA43	0
Dressler syndrome	Dressler syndrome	BA60.0	0
Chronic ischaemic heart disease, unspecified	Chronic ischaemic heart disease, unspecified	BA5Z	0
Coronary atherosclerosis, unspecified site	Coronary atherosclerosis, unspecified site	BA80.Z	0
Old myocardial infarction	Old myocardial infarction	BA50	0
Ischaemic cardiomyopathy	Ischaemic cardiomyopathy	BA51	0
Pulmonary heart disease or diseases of pulmonary circulation, unspecified	Pulmonary heart disease or diseases of pulmonary circulation, unspecified	BB0Z	0
Pulmonary thromboembolism, unspecified	Pulmonary thromboembolism, unspecified	BB00.Z	0
Pulmonary hypertension, unspecified	Pulmonary hypertension, unspecified	BB01.Z	0
Certain specified diseases of pulmonary vessels	Certain specified diseases of pulmonary vessels	BB02	0
Arteriovenous fistula of pulmonary vessels	Arteriovenous fistula of pulmonary vessels	BB02.0	0
Aneurysm of pulmonary artery, unspecified	Aneurysm of pulmonary artery, unspecified	BB02.1Z	0
Acute pericarditis, unspecified	Acute pericarditis, unspecified	BB20.Z	0
Infectious pericarditis	Infectious pericarditis	BB20.0	0
Pericarditis, unspecified	Pericarditis, unspecified	BB2Z	0
Constrictive pericarditis	Constrictive pericarditis	BB22	0
Pericardial effusion	Pericardial effusion	BB25	0
Acute or subacute endocarditis, unspecified	Acute or subacute endocarditis, unspecified	BB4Z	0
Acute or subacute infectious endocarditis	Acute or subacute infectious endocarditis	BB40	0
Mitral valve insufficiency, unspecified	Mitral valve insufficiency, unspecified	BB61.Z	0
Mitral valve prolapse, unspecified	Mitral valve prolapse, unspecified	BB62.Z	0
Nonrheumatic mitral valve stenosis	Nonrheumatic mitral valve stenosis	BB60.1	0
Aortic valve stenosis, unspecified	Aortic valve stenosis, unspecified	BB70.Z	0
Aortic valve insufficiency, unspecified	Aortic valve insufficiency, unspecified	BB71.Z	0
Aortic valve stenosis with insufficiency, unspecified	Aortic valve stenosis with insufficiency, unspecified	BB72.Z	0
Tricuspid valve stenosis, unspecified	Tricuspid valve stenosis, unspecified	BB80.Z	0
Tricuspid valve insufficiency, unspecified	Tricuspid valve insufficiency, unspecified	BB81.Z	0
Tricuspid valve stenosis with insufficiency, unspecified	Tricuspid valve stenosis with insufficiency, unspecified	BB82.Z	0
Pulmonary valve disease, unspecified	Pulmonary valve disease, unspecified	BB9Z	0
Pulmonary valve stenosis, unspecified	Pulmonary valve stenosis, unspecified	BB90.Z	0
Pulmonary valve insufficiency, unspecified	Pulmonary valve insufficiency, unspecified	BB91.Z	0
Pulmonary valve stenosis with insufficiency, unspecified	Pulmonary valve stenosis with insufficiency, unspecified	BB92.Z	0
Heart valve diseases, unspecified	Heart valve diseases, unspecified	BC0Z	0
Myocarditis, unspecified	Myocarditis, unspecified	BC42.Z	0
Infectious myocarditis	Infectious myocarditis	BC42.1	0
Cardiomyopathy, unspecified	Cardiomyopathy, unspecified	BC43.Z	0
Dilated cardiomyopathy, unspecified	Dilated cardiomyopathy, unspecified	BC43.0Z	0
Obstructive hypertrophic cardiomyopathy	Obstructive hypertrophic cardiomyopathy	BC43.12	0
Hypertrophic cardiomyopathy, unspecified	Hypertrophic cardiomyopathy, unspecified	BC43.1Z	0
Nonfamilial restrictive cardiomyopathy	Nonfamilial restrictive cardiomyopathy	BC43.20	0
Endocardial fibroelastosis	Endocardial fibroelastosis	BC43.3	0
Nonfamilial dilated cardiomyopathy	Nonfamilial dilated cardiomyopathy	BC43.01	0
Cardiomyopathy due to drugs or other external agents	Cardiomyopathy due to drugs or other external agents	BC43.4	0
Conduction disorders, unspecified	Conduction disorders, unspecified	BC63.Z	0
Atrioventricular block, first degree	Atrioventricular block, first degree	BC63.0	0
Atrioventricular block, second degree, unspecified	Atrioventricular block, second degree, unspecified	BC63.1Z	0
Complete atrioventricular block, unspecified	Complete atrioventricular block, unspecified	BC63.2Z	0
Left anterior fascicular block	Left anterior fascicular block	BC63.40	0
Left posterior fascicular block	Left posterior fascicular block	BC63.41	0
Left bundle branch block, fascicle unspecified	Left bundle branch block, fascicle unspecified	BC63.4Z	0
Right bundle branch block	Right bundle branch block	BC63.3	0
Nonspecific intraventricular conduction delay	Nonspecific intraventricular conduction delay	BC63.5	0
Cardiac arrest, unspecified	Cardiac arrest, unspecified	MC82.Z	0
Paroxysmal tachycardia	Paroxysmal tachycardia	MC81.3	0
Re-entry ventricular arrhythmia	Re-entry ventricular arrhythmia	BC71.2	0
Supraventricular tachyarrhythmia, unspecified	Supraventricular tachyarrhythmia, unspecified	BC81.Z	0
Ventricular tachycardia, unspecified	Ventricular tachycardia, unspecified	BC71.0Z	0
Paroxysmal atrial fibrillation	Paroxysmal atrial fibrillation	BC81.30	0
Persistent atrial fibrillation	Persistent atrial fibrillation	BC81.31	0
Permanent atrial fibrillation	Permanent atrial fibrillation	BC81.32	0
Cavotricuspid isthmus dependent macroreentry tachycardia	Cavotricuspid isthmus dependent macroreentry tachycardia	BC81.20	0
Ventricular fibrillation	Ventricular fibrillation	BC71.1	0
Atrial premature depolarization	Atrial premature depolarization	BC60	0
Junctional premature depolarization	Junctional premature depolarization	BC61	0
Ventricular premature depolarization	Ventricular premature depolarization	BC70	0
Sick sinus syndrome	Sick sinus syndrome	BC80.20	0
Heart failure, unspecified	Heart failure, unspecified	BD1Z	0
Congestive heart failure	Congestive heart failure	BD10	0
Left ventricular failure, unspecified	Left ventricular failure, unspecified	BD11.Z	0
Diseases of the myocardium or cardiac chambers, unspecified	Diseases of the myocardium or cardiac chambers, unspecified	BC4Z	0
Intracardiac thrombosis	Intracardiac thrombosis	BC46	0
Cardiomegaly	Cardiomegaly	BC45	0
Cerebrovascular diseases, unspecified	Cerebrovascular diseases, unspecified	8B2Z	0
Subarachnoid haemorrhage	Subarachnoid haemorrhage	8B01	0
Aneurysmal subarachnoid haemorrhage	Aneurysmal subarachnoid haemorrhage	8B01.0	0
Intracerebral haemorrhage, site unspecified	Intracerebral haemorrhage, site unspecified	8B00.Z	0
Deep hemispheric haemorrhage	Deep hemispheric haemorrhage	8B00.0	0
Lobar haemorrhage	Lobar haemorrhage	8B00.1	0
Brainstem haemorrhage	Brainstem haemorrhage	8B00.2	0
Cerebellar haemorrhage	Cerebellar haemorrhage	8B00.3	0
Intraventricular haemorrhage without parenchymal haemorrhage	Intraventricular haemorrhage without parenchymal haemorrhage	8B00.4	0
Haemorrhage of multiple sites	Haemorrhage of multiple sites	8B00.5	0
Intracranial haemorrhage, unspecified	Intracranial haemorrhage, unspecified	8B0Z	0
Nontraumatic subdural haemorrhage	Nontraumatic subdural haemorrhage	8B02	0
Nontraumatic epidural haemorrhage	Nontraumatic epidural haemorrhage	8B03	0
Cerebral ischaemic stroke	Cerebral ischaemic stroke	8B11	0
Cerebral ischaemic stroke due to extracranial large artery atherosclerosis	Cerebral ischaemic stroke due to extracranial large artery atherosclerosis	8B11.0	0
Cerebral ischaemic stroke due to embolic occlusion, unspecified	Cerebral ischaemic stroke due to embolic occlusion, unspecified	8B11.2Z	0
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of extracranial large artery	Cerebral ischaemic stroke due to unspecified occlusion or stenosis of extracranial large artery	8B11.50	0
Cerebral ischaemic stroke due to intracranial large artery atherosclerosis	Cerebral ischaemic stroke due to intracranial large artery atherosclerosis	8B11.1	0
Cerebral ischaemic stroke due to unspecified occlusion or stenosis of intracranial large artery	Cerebral ischaemic stroke due to unspecified occlusion or stenosis of intracranial large artery	8B11.51	0
Stroke not known if ischaemic or haemorrhagic	Stroke not known if ischaemic or haemorrhagic	8B20	0
Asymptomatic stenosis of intracranial or extracranial artery	Asymptomatic stenosis of intracranial or extracranial artery	BD55	0
Dissection of cerebral arteries	Dissection of cerebral arteries	8B22.0	0
Cerebral aneurysm, nonruptured	Cerebral aneurysm, nonruptured	8B22.5	0
Hypertensive encephalopathy	Hypertensive encephalopathy	8B22.8	0
Moyamoya syndrome	Moyamoya syndrome	8B22.B	0
Cerebral venous thrombosis	Cerebral venous thrombosis	8B22.1	0
Cerebrovascular abnormalities	Cerebrovascular abnormalities	8B23	0
Cerebral arteritis, not elsewhere classified, unspecified	Cerebral arteritis, not elsewhere classified, unspecified	8B22.7Z	0
Late effects of cerebrovascular disease, unspecified	Late effects of cerebrovascular disease, unspecified	8B25.Z	0
Late effects of subarachnoid haemorrhage	Late effects of subarachnoid haemorrhage	8B25.2	0
Late effects of intracerebral haemorrhage	Late effects of intracerebral haemorrhage	8B25.1	0
Late effects of other nontraumatic intracranial haemorrhage	Late effects of other nontraumatic intracranial haemorrhage	8B25.3	0
Late effects of cerebral ischemic stroke	Late effects of cerebral ischemic stroke	8B25.0	0
Late effects of stroke not known if ischaemic or haemorrhagic	Late effects of stroke not known if ischaemic or haemorrhagic	8B25.4	0
Diseases of arteries or arterioles, unspecified	Diseases of arteries or arterioles, unspecified	BD5Z	0
Atherosclerotic chronic arterial occlusive disease, unspecified	Atherosclerotic chronic arterial occlusive disease, unspecified	BD40.Z	0
Atherosclerosis of aorta	Atherosclerosis of aorta	BD40.1	0
Atherosclerosis of renal artery	Atherosclerosis of renal artery	BD40.2	0
Aortic aneurysm or dissection, unspecified	Aortic aneurysm or dissection, unspecified	BD50.Z	0
Thoracic aortic aneurysm with rupture	Thoracic aortic aneurysm with rupture	BD50.31	0
Thoracic aortic aneurysm without mention of perforation or rupture	Thoracic aortic aneurysm without mention of perforation or rupture	BD50.32	0
Abdominal aortic aneurysm with rupture	Abdominal aortic aneurysm with rupture	BD50.41	0
Abdominal aortic aneurysm, unspecified	Abdominal aortic aneurysm, unspecified	BD50.4Z	0
Thoracoabdominal aortic aneurysm with rupture	Thoracoabdominal aortic aneurysm with rupture	BD50.51	0
Thoracoabdominal aortic aneurysm without mention of perforation or rupture	Thoracoabdominal aortic aneurysm without mention of perforation or rupture	BD50.52	0
Aneurysm and dissection of unspecified artery	Aneurysm and dissection of unspecified artery	BD51.Z	0
Aneurysm or dissection of carotid artery	Aneurysm or dissection of carotid artery	BD51.0	0
Aneurysm or dissection of artery of upper extremity	Aneurysm or dissection of artery of upper extremity	BD51.3	0
Aneurysm or dissection of renal artery	Aneurysm or dissection of renal artery	BD51.4	0
Aneurysm or dissection of iliac artery	Aneurysm or dissection of iliac artery	BD51.5	0
Aneurysm or dissection of artery of lower extremity	Aneurysm or dissection of artery of lower extremity	BD51.6	0
Aneurysm or dissection of other precerebral arteries	Aneurysm or dissection of other precerebral arteries	BD51.2	0
Aneurysm or dissection of vertebral artery	Aneurysm or dissection of vertebral artery	BD51.1	0
Raynaud phenomenon, unspecified	Raynaud phenomenon, unspecified	BD42.Z	0
Thromboangiitis obliterans	Thromboangiitis obliterans	4A44.8	0
Chronic arterial occlusive disease, unspecified	Chronic arterial occlusive disease, unspecified	BD4Z	0
Acute thromboembolic aortoiliac occlusion	Acute thromboembolic aortoiliac occlusion	BD30.10	0
Acute thromboembolic upper limb arterial occlusion	Acute thromboembolic upper limb arterial occlusion	BD30.00	0
Acute thromboembolic lower limb arterial occlusion	Acute thromboembolic lower limb arterial occlusion	BD30.20	0
Certain specified disorders of arteries or arterioles	Certain specified disorders of arteries or arterioles	BD52	0
Arteriovenous fistula, acquired	Arteriovenous fistula, acquired	BD52.1	0
Stricture of artery	Stricture of artery	BD52.2	0
Rupture of artery	Rupture of artery	BD52.3	0
Arterial fibromuscular dysplasia	Arterial fibromuscular dysplasia	BD41.0	0
Coeliac artery compression syndrome	Coeliac artery compression syndrome	BD52.5	0
Necrosis of artery	Necrosis of artery	BD52.4	0
Vasculitis, unspecified	Vasculitis, unspecified	4A44.Z	0
Hereditary haemorrhagic telangiectasia	Hereditary haemorrhagic telangiectasia	LA90.00	0
Secondary disorders of arteries and arterioles, unspecified	Secondary disorders of arteries and arterioles, unspecified	BD53.Z	0
Diseases of veins, unspecified	Diseases of veins, unspecified	BD7Z	0
Superficial thrombophlebitis of lower limbs	Superficial thrombophlebitis of lower limbs	BD70.0	0
Superficial thrombophlebitis, unspecified	Superficial thrombophlebitis, unspecified	BD70.Z	0
Portal vein thrombosis	Portal vein thrombosis	DB98.3	0
Budd-Chiari syndrome	Budd-Chiari syndrome	DB98.5	0
Thrombophlebitis migrans	Thrombophlebitis migrans	BD70.2	0
Venous thromboembolism	Venous thromboembolism	BD72	0
Lower limb varicose veins, not further specified	Lower limb varicose veins, not further specified	BD74.1Z	0
Chronic peripheral venous insufficiency of lower extremities, unspecified	Chronic peripheral venous insufficiency of lower extremities, unspecified	BD74.Z	0
Oesophageal varices, unspecified	Oesophageal varices, unspecified	DA26.0Z	0
Oesophageal varices with bleeding	Oesophageal varices with bleeding	DA26.00	0
Oesophageal varices without bleeding	Oesophageal varices without bleeding	DA26.01	0
Venous varicosities of unspecified site	Venous varicosities of unspecified site	BD75.Z	0
Sublingual varices	Sublingual varices	BD75.0	0
Scrotal varices	Scrotal varices	BD75.1	0
Pelvic varices	Pelvic varices	BD75.3	0
Vulval varices	Vulval varices	BD75.2	0
Gastric varices	Gastric varices	DA43.0	0
Lymphadenitis, unspecified	Lymphadenitis, unspecified	BD90.Z	0
Nonspecific mesenteric lymphadenitis	Nonspecific mesenteric lymphadenitis	BD90.1	0
Chronic lymphadenitis, unspecified	Chronic lymphadenitis, unspecified	BD90.2Z	0
Disorders of lymphatic vessels or lymph nodes, unspecified	Disorders of lymphatic vessels or lymph nodes, unspecified	BD9Z	0
Lymphoedema, unspecified	Lymphoedema, unspecified	BD93.Z	0
Lymphangitis	Lymphangitis	BD91	0
Hypotension, unspecified	Hypotension, unspecified	BA2Z	0
Idiopathic hypotension	Idiopathic hypotension	BA20	0
Orthostatic hypotension	Orthostatic hypotension	BA21	0
Postcardiotomy syndrome	Postcardiotomy syndrome	BE10	0
Other functional disturbances following cardiac surgery	Other functional disturbances following cardiac surgery	BE11	0
Postmastectomy lymphoedema syndrome	Postmastectomy lymphoedema syndrome	BE1B.0	0
Postprocedural disorder of circulatory system following repair of congenital heart or great vessel anomaly	Postprocedural disorder of circulatory system following repair of congenital heart or great vessel anomaly	BE14	0
Diseases of the respiratory system, unspecified	Diseases of the respiratory system, unspecified	CB7Z	0
Upper respiratory tract disorders, unspecified	Upper respiratory tract disorders, unspecified	CA0Z	0
Acute nasopharyngitis	Acute nasopharyngitis	CA00	0
Acute sinusitis	Acute sinusitis	CA01	0
Acute pharyngitis, unspecified	Acute pharyngitis, unspecified	CA02.Z	0
Streptococcal pharyngitis	Streptococcal pharyngitis	1B51	0
Acute pharyngitis due to other bacteria	Acute pharyngitis due to other bacteria	CA02.0	0
Acute tonsillitis, unspecified	Acute tonsillitis, unspecified	CA03.Z	0
Streptococcal tonsillitis	Streptococcal tonsillitis	CA03.0	0
Acute laryngitis or tracheitis, unspecified	Acute laryngitis or tracheitis, unspecified	CA05.Z	0
Acute laryngitis	Acute laryngitis	CA05.0	0
Acute tracheitis	Acute tracheitis	CA05.1	0
Acute laryngotracheitis	Acute laryngotracheitis	CA05.2	0
Acute obstructive laryngitis or epiglottitis, unspecified	Acute obstructive laryngitis or epiglottitis, unspecified	CA06.Z	0
Acute obstructive laryngitis	Acute obstructive laryngitis	CA06.0	0
Acute epiglottitis	Acute epiglottitis	CA06.1	0
Acute upper respiratory infections of multiple and unspecified sites	Acute upper respiratory infections of multiple and unspecified sites	CA07	0
Acute laryngopharyngitis	Acute laryngopharyngitis	CA04	0
Acute upper respiratory infections of multiple sites	Acute upper respiratory infections of multiple sites	CA07.1	0
Acute upper respiratory infection, site unspecified	Acute upper respiratory infection, site unspecified	CA07.0	0
Influenza due to identified zoonotic or pandemic influenza virus	Influenza due to identified zoonotic or pandemic influenza virus	1E31	0
Influenza due to identified seasonal influenza virus	Influenza due to identified seasonal influenza virus	1E30	0
Influenza due to identified seasonal influenza virus / Influenza virus	Influenza due to identified seasonal influenza virus / Influenza virus	1E30&XN5SG	0
Influenza, virus not identified	Influenza, virus not identified	1E32	0
Viral pneumonia, unspecified	Viral pneumonia, unspecified	CA40.1Z	0
Pneumonia due to Adenovirus	Pneumonia due to Adenovirus	CA40.10	0
Pneumonia due to Respiratory syncytial virus	Pneumonia due to Respiratory syncytial virus	CA40.11	0
Pneumonia due to parainfluenza virus	Pneumonia due to parainfluenza virus	CA40.12	0
Pneumonia due to Human metapneumovirus	Pneumonia due to Human metapneumovirus	CA40.13	0
Pneumonia due to Streptococcus pneumoniae	Pneumonia due to Streptococcus pneumoniae	CA40.07	0
Pneumonia due to Haemophilus influenzae	Pneumonia due to Haemophilus influenzae	CA40.02	0
Bacterial pneumonia, unspecified	Bacterial pneumonia, unspecified	CA40.0Z	0
Pneumonia due to Klebsiella pneumoniae	Pneumonia due to Klebsiella pneumoniae	CA40.03	0
Pneumonia due to Pseudomonas aeruginosa	Pneumonia due to Pseudomonas aeruginosa	CA40.05	0
Pneumonia due to Staphylococcus	Pneumonia due to Staphylococcus	CA40.06	0
Pneumonia due to Beta-haemolytic streptococcus	Pneumonia due to Beta-haemolytic streptococcus	CA40.08	0
Pneumonia due to Escherichia coli	Pneumonia due to Escherichia coli	CA40.01	0
Pneumonia due to Mycoplasma pneumoniae	Pneumonia due to Mycoplasma pneumoniae	CA40.04	0
Pneumonia, organism unspecified	Pneumonia, organism unspecified	CA40.Z	0
Pneumonia due to Chlamydophila pneumoniae	Pneumonia due to Chlamydophila pneumoniae	CA40.00	0
Fungal pneumonia, unspecified	Fungal pneumonia, unspecified	CA40.2Z	0
Lung infections, unspecified	Lung infections, unspecified	CA4Z	0
Acute bronchitis, unspecified	Acute bronchitis, unspecified	CA42.Z	0
Acute bronchitis due to Haemophilus influenzae	Acute bronchitis due to Haemophilus influenzae	CA42.4	0
Acute bronchitis due to Streptococcus	Acute bronchitis due to Streptococcus	CA42.0	0
Acute bronchitis due to Coxsackievirus	Acute bronchitis due to Coxsackievirus	CA42.5	0
Acute bronchitis due to Parainfluenza virus	Acute bronchitis due to Parainfluenza virus	CA42.3	0
Acute bronchitis due to Respiratory syncytial virus	Acute bronchitis due to Respiratory syncytial virus	CA42.2	0
Acute bronchitis due to Rhinovirus	Acute bronchitis due to Rhinovirus	CA42.1	0
Acute bronchiolitis, unspecified	Acute bronchiolitis, unspecified	CA41.Z	0
Acute bronchiolitis due to respiratory syncytial virus	Acute bronchiolitis due to respiratory syncytial virus	CA41.0	0
Rhinitis, unspecified whether allergic or nonallergic	Rhinitis, unspecified whether allergic or nonallergic	CA08.Z	0
Vasomotor rhinitis	Vasomotor rhinitis	CA08.3	0
Allergic rhinitis due to pollen	Allergic rhinitis due to pollen	CA08.00	0
Allergic rhinitis due to other seasonal allergens	Allergic rhinitis due to other seasonal allergens	CA08.01	0
Other allergic rhinitis	Other allergic rhinitis	CA08.03	0
Allergic rhinitis, unspecified	Allergic rhinitis, unspecified	CA08.0Z	0
Chronic rhinitis, nasopharyngitis or pharyngitis, unspecified	Chronic rhinitis, nasopharyngitis or pharyngitis, unspecified	CA09.Z	0
Chronic rhinitis	Chronic rhinitis	CA09.0	0
Chronic nasopharyngitis	Chronic nasopharyngitis	CA09.1	0
Chronic pharyngitis	Chronic pharyngitis	CA09.2	0
Chronic rhinosinusitis, unspecified	Chronic rhinosinusitis, unspecified	CA0A.Z	0
Nasal polyp, unspecified	Nasal polyp, unspecified	CA0J.Z	0
Polypoid sinus degeneration	Polypoid sinus degeneration	CA0J.0	0
Abscess of upper respiratory tract, unspecified	Abscess of upper respiratory tract, unspecified	CA0K.Z	0
Cyst or mucocele of nose or nasal sinus	Cyst or mucocele of nose or nasal sinus	CA0C	0
Deviated nasal septum	Deviated nasal septum	CA0D	0
Hypertrophy of nasal turbinates	Hypertrophy of nasal turbinates	CA0E	0
Chronic diseases of tonsils or adenoids, unspecified	Chronic diseases of tonsils or adenoids, unspecified	CA0F.Z	0
Hypertrophy of tonsils	Hypertrophy of tonsils	CA0F.0	0
Hypertrophy of adenoids	Hypertrophy of adenoids	CA0F.1	0
Peritonsillar abscess	Peritonsillar abscess	CA0K.1	0
Chronic laryngitis or laryngotracheitis	Chronic laryngitis or laryngotracheitis	CA0G	0
Diseases of vocal cords or larynx, not elsewhere classified, unspecified	Diseases of vocal cords or larynx, not elsewhere classified, unspecified	CA0H.Z	0
Paralysis of vocal cords or larynx	Paralysis of vocal cords or larynx	CA0H.0	0
Polyp of vocal cord or larynx	Polyp of vocal cord or larynx	CA0H.1	0
Nodules of vocal cords	Nodules of vocal cords	CA0H.2	0
Oedema of larynx	Oedema of larynx	CA0H.3	0
Laryngeal spasm	Laryngeal spasm	CA0H.4	0
Stenosis of larynx	Stenosis of larynx	CA0H.5	0
Retropharyngeal or parapharyngeal abscess	Retropharyngeal or parapharyngeal abscess	CA0K.0	0
Allergic or hypersensitivity disorders involving the respiratory tract, unspecified	Allergic or hypersensitivity disorders involving the respiratory tract, unspecified	4A80.Z	0
Lower respiratory tract disease, unspecified	Lower respiratory tract disease, unspecified	CA2Z	0
Bronchitis, unspecified	Bronchitis, unspecified	CA20.Z	0
Chronic bronchitis, unspecified	Chronic bronchitis, unspecified	CA20.1Z	0
Simple chronic bronchitis	Simple chronic bronchitis	CA20.10	0
Mucopurulent chronic bronchitis	Mucopurulent chronic bronchitis	CA20.11	0
Mixed simple and mucopurulent chronic bronchitis	Mixed simple and mucopurulent chronic bronchitis	CA20.12	0
Emphysema, unspecified	Emphysema, unspecified	CA21.Z	0
MacLeod syndrome	MacLeod syndrome	CA21.0	0
Panlobular emphysema	Panlobular emphysema	CA21.1	0
Centrilobular emphysema	Centrilobular emphysema	CA21.2	0
Chronic obstructive pulmonary disease, unspecified	Chronic obstructive pulmonary disease, unspecified	CA22.Z	0
